Date,Category,Sub_Category,Account,Amount,Type,Scenario
2025-09-27,Operating Expenses,Salaries,Sales Team,14500,Debit,Budget
2025-09-28,COGS,Direct Labor,Contractors,16000,Debit,Budget
2025-10-15,Revenue,Product Sales,Hardware,75000,Credit,Budget
2025-10-20,Revenue,Service Revenue,Consulting,28000,Credit,Budget
2025-10-25,Operating Expenses,Rent,Office Lease,4000,Debit,Budget
2025-10-28,COGS,Direct Labor,Contractors,16500,Debit,Budget
2025-11-15,Revenue,Product Sales,Hardware,80000,Credit,Budget
2025-11-20,Revenue,Service Revenue,Consulting,30000,Credit,Budget
2025-11-25,Operating Expenses,Rent,Office Lease,4000,Debit,Budget
2025-11-28,COGS,Direct Labor,Contractors,17000,Debit,Budget
2025-12-15,Revenue,Product Sales,Hardware,88000,Credit,Budget
2025-12-20,Revenue,Service Revenue,Consulting,33000,Credit,Budget
2025-12-25,Operating Expenses,Rent,Office Lease,4000,Debit,Budget
2025-12-28,COGS,Direct Labor,Contractors,17500,Debit,Budget
